MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
49;Nýársmót Völsungs 2004;Húsavík;2004-01-10 00:00:00.000;2004-01-10 00:00:00.000;1448;1065;;2003-12-09 11:47:02.890;1899-12-30 09:00:00.000;1899-12-30 19:00:00.000;40;"BLÍ       ";L;2;NULL
50;Dímonarmót 2004;Hvolsvelli;2004-01-24 00:00:00.000;2004-01-24 00:00:00.000;363;889;;2003-12-11 23:18:36.640;1899-12-30 10:00:00.000;1899-12-30 16:00:00.000;30;"BLÍ       ";L;3;NULL
51;Áramót 2003;;2001-01-01 00:00:00.000;2001-01-01 00:00:00.000;1329;479;NULL;2003-12-15 04:56:08.560;1900-01-01 08:00:00.000;1900-01-01 23:00:00.000;45;"BLÍ       ";F;3;NULL
52;Hlaupársmót Aftureldingar 2004;Mosfellsbær;2004-02-28 00:00:00.000;2004-02-28 00:00:00.000;156;265;;2003-12-29 13:44:48.840;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;2;NULL
53;Bresamót 2005;Akranes;2004-03-06 00:00:00.000;2004-03-06 00:00:00.000;504;590;Mótið er hraðmót, opið öllum;2004-01-05 23:13:44.640;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;2;NULL
54;29. Öldungamót BLÍ;Akranes;2004-04-22 00:00:00.000;2004-04-24 00:00:00.000;504;85;Hver leikur upp á 2 unnar hrinur, leikið samkvæmt ,,rally pónt;2004-01-12 13:51:01.983;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";G;2;NULL
55;Kjörísmót 2004;Hveragerði;2004-04-03 00:00:00.000;2004-04-03 00:00:00.000;1049;179;;2004-01-13 08:47:04.873;1899-12-30 08:30:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";G;2;NULL
56;Hraðmót Fylkis 2004;Fylkishöll;2004-03-27 00:00:00.000;2004-03-27 00:00:00.000;125;1219;Opið mót kvenna og karla;2004-01-13 13:17:40.983;1899-12-30 08:20:00.000;1899-12-30 17:00:00.000;20;"BLÍ       ";G;2;NULL
57;Siglómótið 2004;;2004-02-28 00:00:00.000;2004-02-28 00:00:00.000;1130;806;;2004-01-13 21:36:52.467;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";S;3;NULL
58;Snæfellsbæjarmót 2004;;2004-03-20 00:00:00.000;2004-03-20 00:00:00.000;108;506;;2004-01-16 12:48:48.153;1899-12-30 09:00:00.000;1899-12-30 18:00:00.000;30;"BLÍ       ";G;2;NULL
