LidID;Nafn;Radnumer;LidaTegundID;SyndarLid;Timastimpill;SyndarlidID
3501;"A1                                      ";NULL;20;1;2008-11-28 18:20:36.983;3501
3502;"A2                                      ";NULL;20;1;2008-11-28 18:20:37.060;3502
3503;"A3                                      ";NULL;20;1;2008-11-28 18:20:37.140;3503
3504;"A4                                      ";NULL;20;1;2008-11-28 18:20:37.250;3504
3505;"B1                                      ";NULL;20;1;2008-11-28 18:20:37.310;3505
3506;"B2                                      ";NULL;20;1;2008-11-28 18:20:37.373;3506
3507;"C1                                      ";NULL;20;1;2008-11-28 18:20:37.420;3507
3508;"C2                                      ";NULL;20;1;2008-11-28 18:20:37.483;3508
3509;Huginn/Höttur;NULL;39;0;2009-01-04 21:54:20.140;NULL
3510;Bjarmi;NULL;33;0;2009-01-07 11:19:11.687;NULL
3513;Víkingur/Reynir;1;33;0;2009-01-07 22:02:10.437;NULL
3514;UNÞ 2;NULL;38;0;2009-01-08 09:24:16.390;NULL
3515;UNÞ 1;NULL;38;0;2009-01-08 09:25:29.217;NULL
3516;Verkís-Fylkir;NULL;20;0;2009-01-08 21:33:37.997;NULL
3517;Stjarnan 3 fl. pilta;NULL;32;0;2009-01-08 22:52:17.437;NULL
3518;Vík/Reyn 3.fl stúlk.;NULL;33;0;2009-01-08 22:54:00.250;NULL
3519;Grótta B;NULL;21;0;2009-01-28 23:55:04.607;NULL
3544;"A1                                      ";NULL;21;1;2009-02-05 21:14:43.030;3544
3545;"A2                                      ";NULL;21;1;2009-02-05 21:14:43.140;3545
3546;"A3                                      ";NULL;21;1;2009-02-05 21:14:43.233;3546
3547;"A4                                      ";NULL;21;1;2009-02-05 21:14:43.327;3547
3548;"B1                                      ";NULL;21;1;2009-02-05 21:14:43.390;3548
3549;"B2                                      ";NULL;21;1;2009-02-05 21:14:43.500;3549
3550;"B3                                      ";NULL;21;1;2009-02-05 21:14:43.577;3550
3551;"B4                                      ";NULL;21;1;2009-02-05 21:14:43.653;3551
3552;"C1                                      ";NULL;21;1;2009-02-05 21:14:43.797;3552
3553;"C2                                      ";NULL;21;1;2009-02-05 21:14:43.890;3553
3554;"D1                                      ";NULL;21;1;2009-02-05 21:14:43.950;3554
3555;"D2                                      ";NULL;21;1;2009-02-05 21:14:44.047;3555
3556;"E1                                      ";NULL;21;1;2009-02-05 21:14:44.123;3556
3557;"E2                                      ";NULL;21;1;2009-02-05 21:14:44.217;3557
3558;"F1                                      ";NULL;21;1;2009-02-05 21:14:44.310;3558
3559;"F2                                      ";NULL;21;1;2009-02-05 21:14:44.403;3559
3560;UMFL Dælur;NULL;39;0;2009-02-17 17:47:50.123;NULL
3561;UMFL Vatnið;NULL;39;0;2009-02-17 18:03:02.733;NULL
3594;MassaDjamm;NULL;20;0;2009-02-26 12:47:55.890;NULL
3595;"A1                                      ";NULL;21;1;2009-03-06 19:01:20.140;3595
3596;"A2                                      ";NULL;21;1;2009-03-06 19:01:20.343;3596
